Tahun,Media_Online,Seed_URL,Parent,Anchor,Surrounding
2018,tempo,https://travel.tempo.co/read/1090598/sertifikat-unesco-untuk-geopark-ciletuh-telah-terbit,"
TEMPO.CO, Bandung - Sertifikat UNESCO Global Geoparks (UGG) untuk geopark Ciletuh -Palabuhanratu telah terbit, General Director of Unesco, Audrey Azoulay, menandatangani sertifikat tersebut sehingga lengkap sudah legatlitas Geopark Ciletuh-Palabuhanratu, Kabupaten Sukabumi, Jawa Barat sebagai bagian dari 'keluarga besar' UGG di dunia. Ketua Harian Badan Pengelola Geopark Ciletuh-Palabuhanratu Deny Juanda mengatakan terbitnya sertifikat ini melengkapi perjuangan proses sertifikasi UNESCO. ""Alhamdulillah, kami bersyukur sekali atas terbitnya sertifikat ini, segera akan digelar acara peresmian UGG-Geopark Ciletuh-Palabuhanratu,"" katanya , di Bandung, Sabtu, 19/5 ""Terima kasih atas prestasi semua pihak yang telah concern dan bersama-sama berjuang pada setiap proses sertifikasi UNESCO ini,"" kata dia. Sertifikat ini memiliki masa berlaku sejak ditetapkan dari 17 April 2018 hingga 16 April 2022. Tahun ini Unesco mengesahkan 12 geopark dari 11 negara sebagai UGG. Pengesahan disampaikan dalam sidang Executive Board Unesco ke 204, Komisi Programme and External Relations, Kamis, 12/4, di Paris, Perancis.


 Hingga kini tercatat empat UGG di Indonesia yang masuk ke dalam jaringn taman bumi dunia. Keempat taman bumi itu adlaah: Batur UNESCO Global Geopark, Gunung Sewu UNESCO Global Geopark, Ciletuh - Palabuhanratu aspiring UNESCO Global Geopark, dan terakhir Rinjani-Lombok UNESCO Global Geopark.Pasca penetapan bulan lalu, Pemerintah Provinsi Jabar terus menggenjot pembangunan infrastruktur di Ciletuh-Palabuhanratu. Gubernur Jawa Barat Ahmad Heryawan  mengungkapkan untuk infrastruktur jalan penghubung Geopark Ciletuh-Palabuhanratu, pemerintah sudah menggelontorkan anggaran Rp96 miliar pada 2016 untuk ruas jalan dari pintu masuk Waluran ke Geopark. Lalu pada 2017 dibangun juga ruas jalan dari pintu masuk Loji ke Geopark yang menelan anggaran Rp217 miliar. ""Tahun ini kita membuat kawasan jalan dari arah pintu masuk Paltiga sebesar Rp90 miliar. Termasuk pembangunan bandara di Sukabumi, karena salah satu syarat geopark internasional itu, harus ada bandara dekat geopark dengan jarak tempuh maksimal tiga jam perjalanan,"" katanya.ANTARA
",Geopark Ciletuh,Geopark Ciletuh UNESCO Pandemi Geopark Ciletuh UNESCO Pandemi Geopark Ciletuh UNESCO Wisatawan UNESCO Global Geopark Geopark Ciletuh UNESCO Wisatawan UNESCO Global Geopark Ciletuh Ciletuh Geopark Festival Geopark Ciletuh Ciletuh Ciletuh Geopark Festival Geopark Ciletuh Geopark Geopark Ciletuh Rinjani Geopark Geopark Ciletuh Rinjani Ridwan Kamil Air Terjun Sukabumi Geopark Ciletuh Ridwan Kamil Air Terjun Sukabumi Geopark Ciletuh Geopark Ciletuh Geopark Ciletuh Geopark Ciletuh Paralayang Geopark Ciletuh Paralayang Geopark Ciletuh Geopark Ciletuh Geopark Ciletuh Geopark Ciletuh Toyota Fortuner Toyota Daendels Geopark Ciletuh Toyota Fortuner Toyota Daendels Geopark Ciletuh Geopark Ciletuh Geopark travel Geopark Ciletuh Geopark travel Wisata Alam Geopark Ciletuh Geopark UNESCO Sukabumi Objek Wisata Wisata Alam Geopark Ciletuh Geopark UNESCO Sukabumi Objek Wisata Yusuf Mansur Wirda Mansur Positif Covid-19 Yusuf Mansur Wirda Mansur Positif Covid-19 Rizieq Shihab Polda Metro Jaya  Kerumunan FPI Petamburan Rizieq Shihab Polda Metro Jaya  Kerumunan FPI Petamburan Yogyakarta Kota Yogyakarta Hoax UGM COVID-19 Yogyakarta Kota Yogyakarta Hoax UGM COVID-19 Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Rizieq Shihab Habib Rizieq Kapolda Metro Jaya Kerumunan Rizieq Shihab Habib Rizieq Kapolda Metro Jaya Kerumunan jakarta pusat Amdal Pabrik jakarta pusat Amdal Pabrik FPI Komnas HAM Laskar FPI Penembakan anggota FPI FPI Komnas HAM Laskar FPI Penembakan anggota FPI Orang Terkaya Forbes Lion Air Bosowa BCA Sinar Mas Orang Terkaya Forbes Lion Air Bosowa BCA Sinar Mas Calon Kapolri Jokowi Idham Azis Kompolnas Calon Kapolri Jokowi Idham Azis Kompolnas Rizieq Shihab FPI Polda Metro Jaya  Kerumunan Petamburan Rizieq Shihab FPI Polda Metro Jaya  Kerumunan Petamburan Rizieq Shihab Petamburan Polda Metro Jaya  Kerumunan Rizieq Shihab Petamburan Polda Metro Jaya  Kerumunan Rizieq Shihab Petamburan Polda Metro Jaya  Kerumunan Luhut ekonomi digital Pertumbuhan Luhut ekonomi digital Pertumbuhan Luhut ekonomi digital Pertumbuhan Arry Syaff Cockpit Band lambung Armand Maulana Arry Syaff Cockpit Band lambung Armand Maulana Arry Syaff Cockpit Band lambung Armand Maulana Rizieq Shihab Polda Metro Jaya  Kerumunan Petamburan Rizieq Shihab Polda Metro Jaya  Kerumunan Petamburan Rizieq Shihab Polda Metro Jaya  Kerumunan Petamburan Joe Biden Kabinet Joe Biden Amerika Demokrat Obama Joe Biden Kabinet Joe Biden Amerika Demokrat Obama Joe Biden Kabinet Joe Biden Amerika Demokrat Obama Rizieq Shihab Kapolda Metro Jaya FPI Kerumunan Petamburan Rizieq Shihab Kapolda Metro Jaya FPI Kerumunan Petamburan Rizieq Shihab Kapolda Metro Jaya FPI Kerumunan Petamburan KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 Papua Lembah Baliem Suku Dani Wisatawan Mandi Papua Lembah Baliem Suku Dani Wisatawan Mandi Papua Lembah Baliem Suku Dani Wisatawan Mandi Gunung Merapi BPPTKG Magma Lahar Gempa Kubah Lava Gunung Merapi BPPTKG Magma Lahar Gempa Kubah Lava Gunung Merapi BPPTKG Magma Lahar Gempa Kubah Lava Satgas Covid-19 Pandemi Covid-19 Satgas Penanganan Covid-19 Satgas Covid-19 Pandemi Covid-19 Satgas Penanganan Covid-19 Satgas Covid-19 Pandemi Covid-19 Satgas Penanganan Covid-19
2017,tempo,https://nasional.tempo.co/read/897466/tim-asesor-unesco-kunjungi-geopark-ciletuh-jawa-barat,"
INFO NASIONAL - ""Kunjungan Tim Asesor UNESCO ke kawasan Geopark Nasional Ciletuh-Palabuhanratu memberikan  semangat semua pemangku kepentingan untuk menerapkan konsep Community Based Tourism yang berbasis konservasi, edukasi, dan pemberdayaan masyarakat,"" ujar Wakil Gubernur Jawa Barat Deddy Mizwar. Tim assessor dari UNESCO berkunjung  sejak Selasa 1 Agustus 2017 hingga Jumat 4 Agustsu 2017. Dalam kunjungan tersebut mereka menilai apakah Geopark Ciletuh Palabuhanratu masuk UNESCO Global Geopark atau tidak. Apabila memenuhi kualifikasi, Ciletuh akan dinyatakan sebagai geopark kelas dunia. Perekomendasian Ciletuh- Pelabuhan Ratu sebagai UNESCO Global Geopark akan disampaikan pada forum Asia Pacific Geopark Network di Cina, September mendatang.""Besar harapan kami, Geopark Nasional Ciletuh-Palabuhanratu memperoleh rekomendasi untuk menjadi UNESCO Global Geopark,""  kata Deddy  Mizwar pada  pertemuan dengan  para Assesor UNESCO, di Aula Setda Kabupaten Sukabumi, Jumat, 4 Agustus 2017. Wagub  mengungkapkan,  pihaknya juga akan terus membenahi sistem manajemen dan memperbanyak  promosi, seperti penyelenggaraan Festival Geopark Ciletuh-Palabuhanratu yang dilaksanakan sejak 2015.""Mari kita jadikan Geopark Nasional  Ciletuh-Palabuhanratu sebagai bestpractice untuk mengeksplorasi berbagai potensi alam di Jawa Barat,"" ujarnya. DeddyMizwar  optimistis, dengan luas wilayah mencapai lebih dari 37 ribu km2, Jawa Barat memiliki surga-surga tersembunyi yang potensial dikembangkan menjadi destinasi wisata kelas dunia.Kepala Dinas Pariwisata dan Kebudayaan Jabar Ida Hernida mengatakan, Geopark Ciletuh memiliki luas sekitar 126 ribu hektar yang menghampar dari Ujung Genteng sampai Cisolok dan berbatasan langsung dengan Provinsi Banten. Ia menyatakan selama  sebulan terakhir  pihaknya melakukan pembenahan  infrastruktur pendukung seperti panel-panel penerangan, pagar-pagar, pemasangan penunjuk jalan.""Untuk mendukung Geopark Ciletuh sebagai UNESCO Geopark, sebuah geopark juga harus memenuhi beberapa unsur yaitu geo-diversity (keragaman geologi), bio-diversity (keragaman biologi), dan culture diversity (keragaman budaya),"" tutur Ida.(*)
","BANK Bukopin Menuju Bank Global Dukung Pemulihan Ekonomi Nasional, Sampoerna Gelar Bazaar Online untuk UMKM Jawara Patra Jaga Warga dan Lingkungan Lewat Kegiatan Patungan  Bangkitkan UMKM: Topik Diskusi Festival #SampoernaUntukUMKM di Hari Pertama",Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Laskar FPI Bareskrim Rizieq Shihab Laskar FPI Bareskrim Rizieq Shihab FPI Komnas HAM Laskar FPI Penembakan anggota FPI FPI Komnas HAM Laskar FPI Penembakan anggota FPI Calon Kapolri Jokowi Idham Azis Kompolnas Calon Kapolri Jokowi Idham Azis Kompolnas KPK Kota Banjar PUPR Kasus Korupsi KPK Kota Banjar PUPR Kasus Korupsi Rizieq Shihab Tersangka FPI Polda Metro Jaya  Rizieq Shihab Tersangka FPI Polda Metro Jaya  Pilkada Pilkada Serentak Kampanye COVID-19 Pilkada Pilkada Serentak Kampanye COVID-19 Vaksin COVID-19 Bio Farma Jokowi Sri Mulyani protokol kesehatan Vaksin COVID-19 Bio Farma Jokowi Sri Mulyani protokol kesehatan vaksin virus corona Inggris COVID-19 vaksin virus corona Inggris COVID-19 KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 KPU Petugas KPPS Positif Covid-19 Perludem Pilkada 2020 OTT KPK Firli Bahuri Edhy Prabowo Juliari Batubara Harun Masiku OTT KPK Firli Bahuri Edhy Prabowo Juliari Batubara Harun Masiku OTT KPK Firli Bahuri Edhy Prabowo Juliari Batubara Harun Masiku Calon Kapolri Laskar FPI Rizieq Shihab Pilkada Surabaya Jokowi Calon Kapolri Laskar FPI Rizieq Shihab Pilkada Surabaya Jokowi Calon Kapolri Laskar FPI Rizieq Shihab Pilkada Surabaya Jokowi Jerinx SID Ikatan Dokter Indonesia (IDI) WHO Ujaran Kebencian  Jerinx SID Ikatan Dokter Indonesia (IDI) WHO Ujaran Kebencian  Jerinx SID Ikatan Dokter Indonesia (IDI) WHO Ujaran Kebencian  Rizieq Shihab Bareskrim Laskar FPI hoaks Rizieq Shihab Bareskrim Laskar FPI hoaks Rizieq Shihab Bareskrim Laskar FPI hoaks Pilkada 2020 PDIP Pekalongan Megawati Pilkada 2020 PDIP Pekalongan Megawati Pilkada 2020 PDIP Pekalongan Megawati Pemungutan Suara Ulang KPU TPS Pilkada 2020 Pemungutan Suara Ulang KPU TPS Pilkada 2020 Pemungutan Suara Ulang KPU TPS Pilkada 2020 Gibran Pilkada Solo Dinasti Politik PDIP Gibran Pilkada Solo Dinasti Politik PDIP Gibran Pilkada Solo Dinasti Politik PDIP Vaksin COVID-19 herd immunity COVID-19 Vaksin COVID-19 herd immunity COVID-19 Vaksin COVID-19 herd immunity COVID-19 Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin Pilkada Surabaya PDIP Eri Cahyadi Machfud Arifin
