No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
567,2016,tempo,https://travel.tempo.co/read/771812/warga-sekitar-geopark-ciletuh-dilatih-jadi-pemandu-wisata,0.78,0.91,0.0,0.2,1
568,2016,tempo,https://travel.tempo.co/read/762929/hari-kartini-21-perempuan-jelajah-geopark-ciletuh,0.76,0.93,0.0,0.25,1
569,2017,tempo,https://nasional.tempo.co/read/874776/paramitha-rusady-jadi-duta-geopark-ciletuh,0.76,0.9,0.0,0.0,1
570,2018,tempo,https://bisnis.tempo.co/read/1064952/ahmad-heryawan-ingin-geopark-ciletuh-dibiayai-obligasi-daerah,0.76,0.96,0.51,0.92,1
571,2017,tempo,https://travel.tempo.co/read/837410/unesco-siap-evaluasi-geopark-ciletuh,0.77,0.98,0.0,0.2,1
572,2019,tempo,https://travel.tempo.co/read/1275415/pendakian-gunung-rinjani-dibuka-kembali-ini-syaratnya/full&view=ok,0.0,0.59,0.51,0.91,0
573,2019,tempo,https://travel.tempo.co/read/1255442/jalan-panjang-dieng-bisa-jadi-situs-geopark,0.51,0.55,0.51,0.89,0
574,2019,tempo,https://travel.tempo.co/read/1245650/unesco-gunung-sewu-masih-sandang-status-geopark-dunia,0.54,0.62,0.54,0.89,0
575,2019,tempo,https://tekno.tempo.co/read/1239236/indonesia-usulkan-toba-dan-belitung-jadi-geopark-dunia,0.51,0.96,0.51,0.89,1
576,2019,tempo,https://travel.tempo.co/read/1229068/unesco-pantau-pengelolaan-geopark-gunung-sewu,0.54,0.57,0.54,0.92,0
577,2019,tempo,https://tekno.tempo.co/read/1217976/lokasi-syuting-laskar-pelangi-ini-diusulkan-jadi-geopark-dunia,0.51,0.83,0.51,0.89,1
578,2019,tempo,https://travel.tempo.co/read/1179799/apa-arti-status-global-geopark-untuk-pariwisata-danau-toba/full&view=ok,0.51,0.57,0.54,0.92,0
579,2019,tempo,https://travel.tempo.co/read/1170452/banyuwangi-incar-unesco-global-geopark-menteri-arief-tak-mudah,0.54,0.59,0.54,0.92,0
580,2019,tempo,https://metro.tempo.co/read/1205687/bupati-bogor-akui-kewalahan-mengawasi-gurandil,0.0,0.55,0.0,0.3,0
581,2019,tempo,https://metro.tempo.co/read/1282464/bahas-8-isu-pembangunan-11-pemda-akan-berkumpul-di-bogor/full&view=ok,0.0,0.91,0.0,0.25,1
582,2019,tempo,https://en.tempo.co/read/1239320/indonesia-proposes-belitung-and-toba-as-unesco-global-geoparks,0.54,0.87,0.54,0.54,1
583,2019,tempo,https://travel.tempo.co/read/1238848/600-an-geolog-dunia-datangi-lombok-bukti-pariwisata-sudah-pulih,0.0,0.89,0.51,0.62,1
584,2019,tempo,https://travel.tempo.co/read/1229873/dunia-berutang-pada-destinasi-wisata-alam-indonesia-ini/full&view=ok,0.2,0.33,0.25,0.93,0
585,2019,tempo,https://tekno.tempo.co/read/1228789/peneliti-itb-krayan-layak-menjadi-situs-warisan-dunia-unesco/full&view=ok,0.16,0.22,0.16,0.9,0
586,2019,tempo,https://bisnis.tempo.co/read/1203919/jawa-barat-segera-bebaskan-lahan-untuk-bandara-cikembar/full&view=ok,0.25,0.91,0.25,0.32,1
587,2019,tempo,https://travel.tempo.co/read/1239345/geopark-karangsambung-bukti-kebumen-dulunya-dasar-laut,0.51,0.64,0.51,0.57,0
588,2018,tempo,https://travel.tempo.co/read/1102632/300-ribu-wisatawan-padati-geopark-ciletuh-selama-musim-liburan/full&view=ok,0.76,0.99,0.76,0.89,1
589,2017,tempo,https://nasional.tempo.co/read/845069/warga-ciptagelar-diminta-dukunggeopark-ciletuh,0.56,0.96,0.0,0.0,1
590,2018,tempo,https://nasional.tempo.co/read/1095517/aher-ajak-investor-percantik-geopark-ciletuh-palabuhanratu,0.82,0.96,0.25,0.25,1
591,2016,tempo,https://travel.tempo.co/read/786793/geopark-ciletuh-perimadona-baru-tempat-liburan-di-jawa-barat,0.8,0.93,0.32,0.82,1
592,2016,tempo,https://travel.tempo.co/read/763096/hari-kartini-21-perempuan-jelajahi-geopark-ciletuh,0.76,0.93,0.5,0.92,1
593,2015,tempo,https://travel.tempo.co/read/658386/dukung-geopark-ciletuh-jabar-akan-bangun-bandara,0.8,0.96,0.0,0.25,1
594,2018,tempo,https://nasional.tempo.co/read/1113250/pj-gubernur-jabar-geopark-ciletuhharus-mendunia,0.57,0.98,0.25,0.25,1
595,2016,tempo,https://travel.tempo.co/read/763926/menantikan-geopark-ciletuh-menjadi-global-geopark,0.76,0.9,0.32,0.82,1
596,2017,tempo,https://nasional.tempo.co/read/1024960/arief-yahya-geopark-ciletuh-palabuhanratu-destinasi-kelas-dunia,0.82,0.9,0.0,0.0,1
597,2017,tempo,https://nasional.tempo.co/read/843619/geopark-ciletuh-masuk-unesco-global-geopark,0.77,0.96,0.0,0.0,1
598,2017,tempo,https://nasional.tempo.co/read/904138/informasi-geopark-ciletuh-harus-didigitalisasi,0.76,0.96,0.0,0.0,1
599,2017,tempo,https://nasional.tempo.co/read/837204/april-ini-tim-penilai-unesco-kunjungi-geopark-ciletuh,0.77,0.98,0.0,0.0,1
600,2017,tempo,https://nasional.tempo.co/read/831963/jalan-baru-menuju-geopark-ciletuh-segera-dibangun,0.76,0.98,0.0,0.0,1
601,2018,tempo,https://nasional.tempo.co/read/1080179/aher-minta-pemkab-sukabumi-buat-rdtr-geopark-ciletuh,0.85,0.98,0.25,0.25,1
602,2017,tempo,https://seleb.tempo.co/read/874634/paramitha-rusady-menjadi-duta-geopark-ciletuh-pelabuhan-ratu,0.82,0.98,0.32,0.82,1
603,2016,tempo,https://nasional.tempo.co/read/797176/jabar-targetkan-ciletuh-masuk-unesco-global-geopark,0.81,1.0,0.0,0.0,1
604,2015,tempo,https://travel.tempo.co/read/719339/ciletuh-calon-geopark-kelas-dunia-di-sukabumi,0.85,0.91,0.5,0.92,1
605,2015,tempo,https://nasional.tempo.co/read/729913/ciletuh-sukabumi-resmi-berstatus-geopark-nasional,0.85,0.9,0.5,0.92,1
606,2017,tempo,https://travel.tempo.co/read/1045105/proyeksi-2018-menjadikan-geopark-tumpuan-wisata-lingkungan,0.55,1.0,0.0,0.0,1
607,2018,tempo,https://travel.tempo.co/read/1135875/kasepuhan-adat-sinarresmi-ditetapkan-sebagai-global-geopark,0.51,0.96,0.51,0.89,1
