No,Media_Online,Seed_URL
11,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20181013151113-269-338225/upacara-adat-syukur-bumi-awali-festival-geopark-ciletuh
12,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20180603211110-269-303120/jabar-berambisi-pertahankan-ciletuh-sebagai-geopark-dunia
13,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20180329192319-269-286958/perikanan-jadi-kekuatan-baru-pariwisata-ciletuh
14,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20171015144159-307-248492/kemenpar-gali-potensi-pariwisata-geopark-ciletuh
15,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20170801124724-307-231659/unesco-datang-beri-penilaian-status-geopark-ciletuh
16,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20170118101520-269-187098/unesco-pertimbangkan-cileteuh-menjadi-taman-bumi
17,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20161214134621-307-179538/ciletuh-wisata-unggulan-jabar-rekomendasi-gubernur-aher
18,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20160620035114-269-139349/pemerintah-jawa-barat-akan-perluas-kawasan-geopark-ciletuh
251,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190417135248-269-387195/tahun-ini-kelimutu-mendaftar-sebagai-geopark-nasional
252,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190106104003-269-358766/tersasar-di-geopark-pongkor
253,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190121182410-269-362578/manfaat-menjelajahi-di-kawasan-wisata-alam
254,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190130074152-269-364933/belitung-menuju-unesco-global-geopark
255,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190613150907-269-403027/yachter-mancanegara-bakal-sambangi-natuna-pertengahan-juni
256,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190625053157-269-406063/geopark-meratus-akan-didaftarkan-ke-unesco
257,cnnindonesia,https://www.cnnindonesia.com/tv/20190510135925-405-393722/video-pesona-alam-geopark-batu
258,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190312101339-269-376424/natuna-resmi-berstatus-geopark-nasional
195,detik,https://travel.detik.com/travel-news/d-4841772/preman-digulung-wisatawan-geopark-ciletuh-inginkan-aksi-preventif?_ga=2.123643459.954688674.1582443345-236416681.1571536150
196,detik,https://news.detik.com/berita-jawa-barat/d-4839220/nyamar-jadi-pengunjung-polisi-sukabumi-bekuk-komplotan-pemalak-wisatawan?_ga=2.190745315.954688674.1582443345-236416681.1571536150
197,detik,https://travel.detik.com/domestic-destination/d-4780364/aduhai-cantiknya-hot-mom-wulan-guritno-di-geopark-ciletuh?_ga=2.165709174.954688674.1582443345-236416681.1571536150
198,detik,https://travel.detik.com/travel-news/d-4688699/jabar-kucurkan-rp-10-m-untuk-objek-wisata-geopark-ciletuh?_ga=2.236890057.954688674.1582443345-236416681.1571536150
199,detik,https://travel.detik.com/dtravelers_stories/u-4651478/7-keajaiban-alam-di-geopark-ciletuh?_ga=2.231351255.954688674.1582443345-236416681.1571536150
200,detik,https://travel.detik.com/travel-news/d-4613007/dorong-wisata-seni-geopark-ciletuh-bakal-punya-amphitheater?_ga=2.168411881.954688674.1582443345-236416681.1571536150
201,detik,https://news.detik.com/berita-jawa-barat/d-4553707/penampakan-sampah-menumpuk-di-pantai-loji-geopark-ciletuh?_ga=2.136302329.954688674.1582443345-236416681.1571536150
202,detik,https://travel.detik.com/travel-news/d-4546939/tahun-2021-ke-geopark-ciletuh-bisa-lewat-laut?_ga=2.168857193.954688674.1582443345-236416681.1571536150
203,detik,https://travel.detik.com/dtravelers_photos/u-4434179/dihipnotis-keindahan-geopark-ciletuh?_ga=2.198625639.954688674.1582443345-236416681.1571536150
204,detik,https://travel.detik.com/domestic-destination/d-4547725/10-tempat-wisata-di-geopark-ciletuh-surga-tersembunyi-di-sukabumi
205,detik,https://news.detik.com/berita-jawa-barat/d-4623621/mobil-masuk-jurang-di-jalan-geopark-ciletuh-sopir-tewas
206,detik,https://travel.detik.com/dtravelers_photos/u-4396105/kau-memang-cantik-geopark-ciletuh?_ga=2.228640468.954688674.1582443345-236416681.1571536150
207,gatra,https://www.gatra.com/detail/news/426685/gaya%20hidup/akselerasi-geopark-ciletuh-bakal-memiliki-amphitheatre
158,inews,https://www.inews.id/travel/destinasi/wisata-pelabuhanratu-sambil-jelajahi-hutan-di-kawasan-geopark-ciletuh
159,inews,https://www.inews.id/travel/destinasi/jelajahi-geopark-ciletuh-yang-mendunia-ada-taman-purba-dan-alluvial
160,inews,https://www.inews.id/travel/destinasi/potensi-geopark-indonesia-dipromosikan-di-markas-unesco-paris
340,inews,https://www.inews.id/travel/destinasi/sail-to-natuna-promosikan-kawasan-wisata-geopark-nasional
341,inews,https://www.inews.id/news/nasional/geopark-indonesia-inews-raih-penghargaan-kpid-dki-jakarta-awards-2019
342,inews,https://www.inews.id/travel/destinasi/geopark-indonesia-juara-1-anugerah-pewarta-wisata-indonesia-2019
343,inews,https://www.inews.id/travel/destinasi/menelusuri-keindahan-alam-dan-adat-warga-sijunjung
344,inews,https://www.inews.id/travel/destinasi/mengenal-kabuenga-tradisi-masyarakat-wakatobi-mencari-jodoh
345,inews,https://www.inews.id/travel/destinasi/wisata-ke-sulawesi-utara-pasar-ekstrem-di-tomohon-jadi-daya-tarik-turis
346,inews,https://www.inews.id/travel/destinasi/ujung-kulon-diajukan-ke-unesco-menjadi-geopark-dunia
182,jpnn,https://www.jpnn.com/news/geopark-ciletuh-palabuhanratu-sepi-pengunjung-ini-penyebabnya
183,jpnn,https://www.jpnn.com/news/sentral-geopark-ciletuh-pemkab-sukabumi-geser-kantor-pemerintahan-ke-palabuhanratu
184,jpnn,https://www.jpnn.com/news/bocah-6-tahun-tenggelam-di-sungai-geopark-ciletuh
185,jpnn,https://www.jpnn.com/kemenkumham/news/bea-cukai-bogor-lirik-potensi-kabupaten-sukabumi
240,kompas,https://regional.kompas.com/read/2019/07/06/11554471/rp-126-miliar-untuk-bangun-amfiteater-geopark-ciletuh-palabuhanratu
241,kompas,https://regional.kompas.com/read/2019/06/25/17212361/paus-terdampar-di-kawasan-geopark-ciletuh-berjenis-hidung-botol-masuk-satwa
242,kompas,https://regional.kompas.com/read/2019/06/24/20533261/heboh-paus-terdampar-di-geopark-ciletuh-tubuh-penuh-luka-hingga-jadi
243,kompas,https://regional.kompas.com/read/2019/04/10/16382261/pemprov-jabar-akan-bentuk-unit-khusus-urus-geopark-ciletuh
244,kompas,https://travel.kompas.com/read/2019/03/29/140800227/dari-sukabumi-sampai-flores-5-destinasi-di-indonesia-untuk-road-trip-
245,kompas,https://pesonaindonesia.kompas.com/read/2019/09/21/184729827/jalan-jalan-di-sekitar-geopark-ciletuh
246,kontan,https://keuangan.kontan.co.id/news/kampanye-anti-sampah-plastik-jamkrindo-mulai-berdayakan-masyarakat-kawasan-ciletuh?page=all
208,kumparan,https://kumparan.com/sukabumi-update/pengguna-jalur-geopark-ciletuh-girimukti-sukabumi-diperiksa-suhu-tubuh-1tCv7D7jgso
209,kumparan,https://kumparan.com/sukabumi-update/pantai-palangpang-penuh-sampah-ikon-geopark-ciletuh-sukabumi-kotor-1se7ocUbeEE
210,kumparan,https://kumparan.com/kumparannews/banjir-dan-longsor-kepung-wilayah-di-sekitar-geopark-ciletuh-sukabumi-1sr9wUTpvKI
211,kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-dikepung-bencana-bupati-sukabumi-opd-harus-lebih-responsif-1srGDUFgPgk
212,kumparan,https://kumparan.com/sukabumi-update/studio-alam-girimukti-spot-favorit-pre-wedding-di-geopark-ciletuh-1scc2nofAZv
213,kumparan,https://kumparan.com/kumparantravel/pemkab-sukabumi-diminta-fokus-kembangkan-geopark-ciletuh-1sE5g72DOdC
214,kumparan,https://kumparan.com/sukabumi-update/sampah-di-geopark-ciletuh-palabuhanratu-capai-600-ton-saat-masa-libur-1sZ8Irp3AhJ
215,kumparan,https://kumparan.com/kumparanoto/menikmati-alam-geopark-ciletuh-dengan-wuling-almaz-1552021476560854364
216,kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-dikubur-di-pesisir-pantai-geopark-ciletuh-1rLPpySg67d
217,kumparan,https://kumparan.com/kumparantravel/eksotisme-bukit-panenjoan-spot-wisata-instagenic-di-geopark-ciletuh-1550795404674471642
218,kumparan,https://kumparan.com/sukabumi-update/bksda-paus-mati-di-geopark-ciletuh-jenis-pilot-1rLkXSeEVyG
219,kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-ciemas-mulai-diserbu-pengunjung-luar-daerah-1rEJUbXL2Df
220,kumparan,https://kumparan.com/sukabumi-update/kebakaran-lahan-kembali-terjadi-di-kawasan-geopark-ciletuh-ciemas-1rYulT4sJ2s
